category,feed_title,feed_url,site_url,notes
NFL / Official,Arizona Cardinals Official News,https://www.azcardinals.com/rss/news,https://www.azcardinals.com/news/,
NFL / Official,Atlanta Falcons Official News,https://www.atlantafalcons.com/rss/news,https://www.atlantafalcons.com/news/,
NFL / Official,Baltimore Ravens Official News,https://www.baltimoreravens.com/rss/news,https://www.baltimoreravens.com/news/,
NFL / Official,Buffalo Bills Official News,https://www.buffalobills.com/rss/news,https://www.buffalobills.com/news/,
NFL / Official,Carolina Panthers Official News,https://www.panthers.com/rss/news,https://www.panthers.com/news/,
NFL / Official,Chicago Bears Official News,https://www.chicagobears.com/rss/news,https://www.chicagobears.com/news/,
NFL / Official,Cincinnati Bengals Official News,https://www.bengals.com/rss/news,https://www.bengals.com/news/,
NFL / Official,Cleveland Browns Official News,https://www.clevelandbrowns.com/rss/news,https://www.clevelandbrowns.com/news/,
NFL / Official,Dallas Cowboys Official News,https://www.dallascowboys.com/rss/news,https://www.dallascowboys.com/news/,
NFL / Official,Denver Broncos Official News,https://www.denverbroncos.com/rss/news,https://www.denverbroncos.com/news/,
NFL / Official,Detroit Lions Official News,https://www.detroitlions.com/rss/news,https://www.detroitlions.com/news/,
NFL / Official,Green Bay Packers Official News,https://www.packers.com/rss/news,https://www.packers.com/news/,
NFL / Official,Houston Texans Official News,https://www.houstontexans.com/rss/news,https://www.houstontexans.com/news/,
NFL / Official,Indianapolis Colts Official News,https://www.colts.com/rss/news,https://www.colts.com/news/,
NFL / Official,Jacksonville Jaguars Official News,https://www.jaguars.com/rss/news,https://www.jaguars.com/news/,
NFL / Official,Kansas City Chiefs Official News,https://www.chiefs.com/rss/news,https://www.chiefs.com/news/,
NFL / Official,Las Vegas Raiders Official News,https://www.raiders.com/rss/news,https://www.raiders.com/news/,
NFL / Official,Los Angeles Chargers Official News,https://www.chargers.com/rss/news,https://www.chargers.com/news/,
NFL / Official,Los Angeles Rams Official News,https://www.therams.com/rss/news,https://www.therams.com/news/,
NFL / Official,Miami Dolphins Official News,https://www.miamidolphins.com/rss/news,https://www.miamidolphins.com/news/,
NFL / Official,Minnesota Vikings Official News,https://www.vikings.com/rss/news,https://www.vikings.com/news/,
NFL / Official,New England Patriots Official News,https://www.patriots.com/rss/news,https://www.patriots.com/news/,
NFL / Official,New Orleans Saints Official News,https://www.neworleanssaints.com/rss/news,https://www.neworleanssaints.com/news/,
NFL / Official,New York Giants Official News,https://www.giants.com/rss/news,https://www.giants.com/news/,
NFL / Official,New York Jets Official News,https://www.newyorkjets.com/rss/news,https://www.newyorkjets.com/news/,
NFL / Official,Philadelphia Eagles Official News,https://www.philadelphiaeagles.com/rss/news,https://www.philadelphiaeagles.com/news/,
NFL / Official,Pittsburgh Steelers Official News,https://www.steelers.com/rss/news,https://www.steelers.com/news/,
NFL / Official,San Francisco 49ers Official News,https://www.49ers.com/rss/news,https://www.49ers.com/news/,
NFL / Official,Seattle Seahawks Official News,https://www.seahawks.com/rss/news,https://www.seahawks.com/news/,
